,title,year,duration,genres,rating,synopsis,directors,stars
5481,Winter Boy,2022.0,122,Drama,7.0,"A 17-year-old high school student trying to get to grips with the new challenges posed by death, life, the city and ""the temptation of renouncement"".",Christophe Honoré,"Paul Kircher,Vincent Lacoste,Juliette Binoche,Erwan Kepoa Falé"
5482,Pig Killer,2022.0,122,Horror,7.1,"Inspired by the terrifying story of Robert 'Willy' Pickton, the pig farmer cum prolific lady killer whose horrific crimes shocked the world, PIG KILLER graphically depicts the rape, torture...",Chad Ferrin,"Jake Busey,Lew Temple,Bai Ling,Kate Patel"
5483,Stories Not to Be Told,2022.0,100,"Action, Adventure, Comedy",6.7,"Five comedic tales criss-cross at random, focusing on the emotions of the main characters and told with a lot of rhythm and action.",Cesc Gay,"Anna Castillo,Chino Darín,Javier Rey,Alex Brendemühl"
5484,"My Sailor, My Love",2022.0,103,Drama,7.2,A retired sea captain and his daughter must reassess their strained relationship after he begins a new romance with a widowed housekeeper.,Klaus Härö,"James Cosmo,Brid Brennan,Catherine Walker,Nora-Jane Noone"
5485,Chiara,2022.0,106,"Biography, History",5.9,"A biography of St. Clare of Assisi, who left her wealthy family to become a nun after hearing St. Francis preach.",Susanna Nicchiarelli,"Margherita Mazzucco,Luigi Lo Cascio,Paolo Briguglia,Andrea Bruschi"
5486,Rosie,2022.0,92,"Comedy, Drama",6.4,"An orphaned Indigenous girl is forced to live with her reluctant, street-smart, francophone aunty and her two gender-bending best friends in 80's Montreal.",Gail Maurice,"Melanie Bray,Keris Hope Hill,Constant Bernard,Alex Trahan"
5487,Runner,2022.0,76,Drama,5.8,An 18-year-old girl dealing with the sudden death of her father and whose life takes an unexpected turn when she carries out his last wish to be buried in his home town along the Mississippi.,Marian Mathias,"Gene Jones,Jonathan Erickson Eisley,Hannah Schiller,Darren Houle"
5488,Mothman,2022.0,83,"Drama, Horror, Mystery",4.1,"Amanda and her boyfriend Tim set out to shed light on the case surrounding her missing brother. After finding his lost archive, she uncovers a truth that leads her down a path to the horror her brother unwillingly encountered: Mothman.",Joshua Brucker,"Liz Fletcher,Christopher Kuriata,Chaney Morrow,Randall Cole"
5489,Starf*cker,2022.0,98,"Comedy, Fantasy",7.5,"A narcissistic psychopath with ADD, BPD and a sex addiction tries to sleep his way to the top of Hollywood, only to find his world crash down around him.",Mark David,"Andy Dick,Blake Clark,James Russo,Mara Marini"
5490,Fixation,2022.0,99,"Drama, Thriller",7.5,"A young woman undergoes a psychiatric evaluation before her sentencing in an unusual murder trial. But as the tests become more personal and frightening, she begins to question the true motives of her doctors.",Mercedes Bryce Morgan,"Maddie Hasson,Genesis Rodriguez,Atticus Mitchell,Gita Miller"
5491,"The Tunnel to Summer, the Exit of Goodbyes",2022.0,83,Animation,7.5,"Kaoru Tono heard a rumor: The laws of space and time mean nothing to the Urashima Tunnel. If you find it, walk through and you'll find your heart's desire on the other side...in exchange for years of your own life.",Tomohisa Taguchi,"Marie Iitoyo,Oji Suzuka"
5492,Hero,2022.0,117,Drama,5.1,"During the initial outbreak of the pandemic in 2020, the interconnected stories of three female protagonists unfold simultaneously in different cities across China. 'Hero' tells stories of love, faith, courage and strength.","Sylvia Chang,Joan Chen,Shaohong Li","Xun Zhou,Sammi Cheng,Jackson Yee,Di Xu"
5493,#DoYouThinkIAmSexy,2022.0,106,Drama,5.9,"Charlize supports her studies by creating sexy content. She learns that her top subscriber, Trystan, is her professor. As he takes advantage of her to pass the subject, she plans a painful revenge to get even with him.",Dennis Marasigan,"Cloe Barretto,Marco Gomez,Chloe Jenna,Ava Mendez"
5494,Oke Oka Jeevitham,2022.0,160,"Drama, Sci-Fi, Thriller",7.8,"To set their present right, Aadhi and his friends decide to take a ride with time to set their past right through a scientist. But time had other plans for them.",Shree Karthick,"Sathish,Ramesh Thilak,Hitesh S. Bharadwaaj,Amala Akkineni"
5495,Lucky Man,2022.0,155,Fantasy,7.5,When you think marrying your best friend means a 'happily ever-after' but it turns out to be just the reverse.,Nagendra Prasad,"Puneeth Rajkumar,Darling Krishna,Sangeetha Sringeri,Roshni Prakash"
5496,Wake Up,2022.0,92,Thriller,8.9,"Do you know what's happening in your neighborhood? Inspired by true stories, a community is shaken when children go missing, and a darkness is exposed hiding in plain sight.",Janet Craig,"David Gridley,Tori Griffith,Isaac C. Singleton Jr.,Chasnie Houston"
5497,Our Ties,2022.0,85,Drama,6.4,"Moussa has always been gentle, altruistic and present for his family. Unlike his brother Ryad, a well-known TV presenter who is criticized for his selfishness by those around him.",Roschdy Zem,"Sami Bouajila,Roschdy Zem,Meriem Serbah,Maïwenn"
5498,A Hundred Flowers,2022.0,104,Drama,6.7,"New Year's Eve. Izumi finds his mother Yuriko wandering in a park in the freezing cold. Diagnosed with dementia, her mind quickly begins to fade. Yet, for her son, memories of the mother ...",Genki Kawamura,"Mieko Harada,Masami Nagasawa,Masatoshi Nagase,Masaki Suda"
5499,This Place,2022.0,87,Drama,4.6,"A coming-of-adulthood story about two women falling in love for the first time. As they grow closer, each is forced to confront their family histories in unexpected ways, while navigating multiple legacies of grief and love.",V.T. Nayani,"Devery Jacobs,Priya Guns,Janïsa Weekes,Alex Joseph"
5500,A Long Break,2022.0,110,Drama,6.4,"After 13 years, Tsitsi (31) initiates a reunion of his former classmates with a seemingly harmless cause: they have not seen each other since graduation and the reason for the gathering is ...",Davit Pirtskhalava,"Shako Mirianashvili,Giorgi Sharvashidze,Sandro Kalandadze,Gaga Shishinashvili"
5501,Time Pirates,2022.0,93,"Adventure, Comedy, Fantasy",4.8,"Teen band SM6 is headlining their first gig, when the discovery of half treasure map sends them back in time to Mystic Island. To go back home, they'll have to find the missing half of the map and the hidden treasure.",Anthony C. Ferrante,"Angela Cole,Sharon Desiree,Andrew Fernie,Michael Justin Gonzales"
5502,Goodbye Cruel World,2022.0,126,Crime,5.8,"5 people, whose identities are unknown to each other, gather for a one time robbery job. They head to a motel, where a yakuza gang use to launder money. The group succeed in their heist and...",Tatsushi Ômori,"Tomokazu Miura,Daisuke Miyagawa,Hio Miyazawa,Hidetoshi Nishijima"
5503,Rosanero,2022.0,96,"Comedy, Fantasy",5.6,"An exchange of personalities, between a Neapolitan gangster and a ten year old girl.",Andrea Porporati,"Salvatore Esposito,Fabiana Martucci,Antonio Milo,Ciro Esposito"
5504,Bai Ivan 2,2022.0,95,Comedy,4.5,,Nikolai Garabedian,"Dimitar Kiriazov,Silvia Yordanova,Nikolai Kokurinkov,Nikolay Gurmanov"
5505,Veer-Isha Nu Seemant,2022.0,125,"Drama, Family",6.4,"A Couple decides to have no kids after their marriage and stick to it till death does them apart, but their families and society have expectations from them, making it difficult for their marriage. Will they able to stick to their plan?",Neeraj Joshi,"Malhar Thakar,Puja Joshi,Anurag Prappana,Chhaya Vora"
5506,Not Reachable,2022.0,120,Crime,7.7,Cops got a notification through the kavalan app that an IT girl was kidnapped. when the police arrived the spot the girl got murdered but cop was confused that the victim is not a kidnapped girl. Then where is the kidnapped girl?,Chandru Muruganantham,"Vishwa,Sai Dhanyaa,Vijayan,Subha Devaraj"
5507,Les 12 travaux d'Imelda,2022.0,93,"Comedy, Drama",7.2,"Larger-than-life, reckless and eccentric Imelda embarks on a quest to settle old scores before celebrating her 100th birthday. The filmmaker plays her as she feistily expounds on refusing to grow old.",Martin Villeneuve,"Martin Villeneuve,Robert Lepage,Ginette Reno,Michel Barrette"
5508,Hanging Gardens,2022.0,117,Drama,7.2,"When a young Iraqi rubbish picker rescues an American sex doll from the Baghdad dumps, he crosses into a perilous red zone, where friends become enemies and nothing is certain in an explosive mix of love, war and madness.",Ahmed Yassin Aldaradji,"Jawad Al Shakarji,Akram Mazen Ali,Wissam Diyaa,Hussain Muhammad Jalil"
5509,Herman the Clown,2022.0,80,"Family, Fantasy",3.9,"Pelle Hermanni is an absent-minded but good-hearted circus clown at Sirkus Hepokatti. Hermanni leaves clowning behind when he finds mail in a bottle from his father Kasper, who has set out ...",Timo Koivusalo,"Vesa Vierikko,Martti Suosalo,Iina Kuustonen,Tom Lindholm"
5510,Unfavorable Odds,2022.0,80,"Comedy, Drama, Romance",2.8,A neglectful husband makes an unconventional bet with a womanizing playboy that he can't seduce his wife.,Michael A. Pinckney,"Charles Ambrose,Grayson Berry,Nathan Blaze,Kayla Gilchrist"
5511,The Taste of Apples Is Red,2022.0,83,"Drama, War",6.4,"It tells the story of Sheikh, whose brother disappeared during the Arab-Israeli war. Fifty years after the territory became part of Israel, the past catches up with the present when tension at the border rises again.",Ehab Tarabieh,"Ruba Blal,Soheil Hadad,Shaden Kanboura,Makram Khoury"
5512,Orleta,2022.0,104,"Drama, War",4.8,"Grodno, an Eastern borderland of pre-war Poland. On September 1, 1939, German planes bombard the city. One of the bomb hits the school of Leos, Ewelina and Tadek. Their world of innocent ...",Krzysztof Lukaszewicz,"Feliks Matecki,Jowita Budnik,Filip Gurlacz,Bartlomiej Topa"
5513,Srirangapuram,2022.0,130,Action,9.3,"Peddi Reddy is a highly revered person in Sri Rangapuram village. He lends help to all the needy in his village and hence is respected by one and all. On the other hand, Konda Reddy from ...",M.S. Vasu,"Vinayak Desai,Payel Mukherjee,Chindanuru Nagaraju,Swathi Naidu"
5514,Kotha Kothaga,2022.0,120,"Drama, Romance",8.0,A middle-class boy falls for a girl with royal lineage but she's engaged to be married to someone else.,Hanumaan Vasamsetty,"Ajay,Anand,Kalyani Natarajan,Lavanya Reddy"
5515,They Want Me Gone,2022.0,90,"Drama, Horror, Thriller",6.2,"As she struggles to escape rural poverty with her daughter, a loving mother suspects those closest to them of turning on her.",Drew Britton,"Emily Decker,Joslyn Jensen,Jennifer Lafleur,Frank Mosley"
5516,Match me if you can,2022.0,80,"Comedy, Romance",,"Lisa (Nina Hartmann) and Martin (Olivier Lendl) are a perfect match - at least their online dating profiles are. Too bad that both of them used fake profile pictures, so when they meet for the first date, they don't recognize each other.","Nina Hartmann,Mark Gerstorfer","Christoph Fälbl,Thomas Gassner,Nina Hartmann,Olivier Lendl"
5517,Ah Be Birader,2022.0,120,"Action, Comedy",7.0,,Ahmet Kapucu,"Muzaffer Aksoy,Çetin Altay,Betül Dinçer,Mustafa Dogan"
5518,The Hotel,2022.0,112,,6.6,"The first days of 2020's lockdown seem to drag forever for a group of tourists trapped in a Thai hotel. In strict confinement and as the big day of an unexpected event approaches, emotional...",Xiaoshuai Wang,"Jun Dai,Xiaolei Huang,Zonghan Li,Yuanyuan Ning"
5519,Teri Meri Gal Ban Gayi,2022.0,144,Drama,6.8,"It's a story about Gunjor Kaur, a college student, who is in love with Navjyot, son of a businessman from Amritsar, Balwant Singh. Will Guri and Navjot succeed in their plan to convince their families?",Preeti Sapru,"Guggu Gill,Rubina Bajwa,Karamjit Anmol,Ajay Kumar Nain"
5520,"Rage, Fear, Love",2022.0,62,Thriller,,"An unflattering portrait of Ester Breen is unveiled. Walter, Ester's husband, is pleased with the horror of the guests' responses. Peter, Ester's boyfriend, just wants Ester to leave her ...","Charles Stanley,Charles Stanley","Victoria Yap,Jenerro Wade,Paige Phillips,Ronald Calzolari"
5521,I Love You,2022.0,94,"Fantasy, Romance",4.8,"When all the boys who had a crush on an ordinary girl, He Meizhen, die in a strange way, one boy, Li Xiaodong, still decides to pursue her and find out the truth.","Jinwei Zeng,Matthew Zuxiang Zhao","Fang Yin,Meng Li,Shen Li,Shuxia He"
5522,Coming Back for You,2022.0,85,Horror,,"""Coming Back for You"" is a psychological horror film about a couple who accidentally hit and kill a woman with their car. They decide to hide the body since one of them just got out of jail...",Dylan DiAntonio,"Paul Kandarian,Aurora Grabill,Antonia Carroll,Alexandria Sceppa"
5523,Common Ground,2022.0,75,Drama,,,"Jalen Knight,Cheterra McCray","Kenyatah Austin,Cristina Barraza,Demorris Burrows,AJ Haggard"
5524,Vicenta B.,2022.0,77,Drama,6.3,A Cuban woman who can see into the future and communicate with spirits faces an existential crisis and confronts her own anxiety.,Carlos Lechuga,"Mireya Chapman,Aimeé Despaigne,Linnett Hernandez Valdes,Eduardo Martínez"
5525,Horse Opera,2022.0,72,,,"Moyra Davey's raw confessional situates the filmmaker and her community of friends alongside tributes, homages, and citations, illuminating a collective memory while fostering a constellation of kinship between artists and thinkers.",Moyra Davey,
5526,All the Dragons,2022.0,93,Drama,,"When her son is bullied at school and her husband's career stalls, May retreats to her childhood home to confront her traumatic past and find the freedom to live out her dreams.",Carissa Dalton,"Carissa Dalton,Cristian Lascau,Nicholas Dalton,Brian Stewart"
5527,Loose Lips,2022.0,60,,,A twisted tale of betrayal and high-stakes street games.,Ameir White,"James Braxton,Josiah DonMartin,Terrell Jackman Zeigler,Devauje Lee"
5528,Ulkazhcha,2022.0,105,Drama,,,Rajesh Raj,"Santhosh Keezhattoor,Ambika Mohan,Anjali Nair,Krishna Prabha"
5529,Allshi Redde,2022.0,102,"Comedy, Horror",,Two villagers end up battling with each other for a treasure found in a river. The greed for the same puts the lives of both the families to end. Many years later the same story comes to life.,"Hera Pinto,Godwin Sparkle","Hanley Vishal Coelho,Sundeep Malani,Snigdha Neereshwalya,William Pinto Padharengi"
5530,PB0931,2022.0,123,Thriller,,A robbery went wrong when four friends try to rob a cash-van to solve their financial problems but someone else takes all the money before they arrive at the location.,"Lakhwinder Singh,Sam Toor","Vikram Chouhan,Harpreet Kaur,Satti Samra,Sukwinder Sukhi"
5531,Non Rowdy,2022.0,133,Action,,"NON ROWDY, the movie chronicles the journey of the young boy who is trying to find a balance between the harsh society and yet want to achieve his dreams",Prashantha K. Shetty,"Tanushree Chatterji,Ravi Kale,Sameera Khan,Suchendra Prasad"
5532,Love at War,2022.0,79,,5.3,"In the midst of a quarrel, two lovers are suddenly interrupted by so-called intraterrestrials pretending their reconciliation could save the world.",Maxime Desruisseaux,"Sylvio Arriola,Emmanuel Bédard,Alex Coté,Olenka Dabrowski"
5533,Hafir: Karanlik Mezar,2022.0,73,Horror,4.5,,"Kemal Danaci,Sedat Ergen","Mehmet Ali Danaci,Sedat Ergen,Erol Sertel,Duhan Çetin"
5534,Annis Ölüm Gecesi,2022.0,105,Horror,3.2,,Adem Ugur,"Hülya Diken,Zaka Humbatzadeh,Meral Kaplan,Selcuk Kilic"
5535,9 Sullu Kathegalu,2022.0,137,"Drama, Thriller",,Navarasa where each story depicts a sentiment. Each story presents a situation and how certain people react to it.,Manjunath Muniyappa,"Ravishankar B A,Ananth,Srinivas B V,Lakshmi Chandrashekar"
5536,Clyde,2022.0,38,"Action, Drama, Horror",,"After coming back from the army, Clyde Lewis (Jonah Christian) experiences some misfortunes when Elaine (Kelsey Tuck) gives him upsetting news. With the help of a therapist (Kevin Clark) ...",Trenton Chappell,"Jonah Christian,Kevin Clark,Kelsey Tuck,Summer Chappell"
5537,Video Actions,2022.0,59,Music,,DeeJayMiLLz & Gucci Donn host an urban music magazine thats filmed in 4 major cities over 50 Superstars,Michael DeeJay Millz Mason,"Michael DeeJay Millz Mason,Berachah Rogers"
5538,A Day in September,2022.0,15,Drama,,,Osakwe Chukwuka,"Alex Ajoku,Olanrewaju Ayanwale"
5539,Broke,2022.0,74,"Comedy, Crime, Drama",,A group of young teenage girls is tired of being broke so they find other ways to make money by getting involved with a dangerous woman name Red she also has a sidekick named Latoya who is ...,Anthony Dye,"Chileah Boyd,Hezekiah Crockett,Barbara Daniels,Anthony Dye"
5540,Arianna Jones,2022.0,90,"Adventure, Fantasy",,"King Jones arise from his ashes to search for his queen and impose the rules he made for the people 5000 years ago, but he meets Arianna - a present day liberated women, and they embark on a life changing journey - from Rules to No Rules.",Vickram,"Naomi Jahan,Amit Kumar Vashisth"
5541,Bulu Film,2022.0,116,"Comedy, Drama",8.5,"As an aftermath of the pandemic, three friends, in a village, lose their jobs. Desperate enough to find a livelihood, they decide to make porn and earn money.",Himanshu Prasad Das,"Apurba Barman,Pranami Bora,Himanshu Prasad Das,Chanku Niranjan Nath"
5542,The Menu,2022.0,107,"Horror, Thriller",7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",Mark Mylod,"Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,Hong Chau"
5543,The Fabelmans,2022.0,151,Drama,7.7,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",Steven Spielberg,"Michelle Williams,Gabriel LaBelle,Paul Dano,Judd Hirsch"
5544,Causeway,2022.0,94,Drama,6.6,A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home.,Lila Neugebauer,"Jennifer Lawrence,Brian Tyree Henry,Linda Emond,Danny Wolohan"
5545,What's Love Got to Do with It?,2022.0,108,"Comedy, Romance",6.6,A cross-cultural romantic comedy.,Shekhar Kapur,"Lily James,Emma Thompson,Shazad Latif,Oliver Chris"
5546,The Hanging Sun,2022.0,93,"Crime, Drama, Mystery",5.1,"On the run from his former employer, a reluctant hitman seeks refuge in an isolated village where he is faced with events that test the true nature of his conscience.",Francesco Carrozzini,"Jessica Brown Findlay,Charles Dance,Peter Mullan,Alessandro Borghi"
5547,The Devil Conspiracy,2022.0,111,"Horror, Thriller",4.5,A cult steals the Shroud of Turin for wicked purposes.,Nathan Frankowski,"Alice Orr-Ewing,Joe Doyle,Eveline Hall,Peter Mensah"
5548,Butcher's Crossing,2022.0,105,"Drama, Western",7.2,"A frontier epic about an Ivy League drop-out as he travels to the Colorado wilderness, where he joins a team of buffalo hunters on a journey that puts his life and sanity at risk. Based on the highly acclaimed novel by John Williams.",Gabe Polsky,"Nicolas Cage,Rachel Keller,Fred Hechinger,Xander Berkeley"
5549,How to Blow Up a Pipeline,2022.0,103,"Drama, Thriller, Western",7.7,A crew of environmental activists plot a daring plan to disrupt an oil pipeline.,Daniel Goldhaber,"Ariela Barer,Kristine Froseth,Lukas Gage,Forrest Goodluck"
5550,Allelujah,2022.0,99,Drama,6.3,The story of a geriatric ward in a small Yorkshire hospital threatened with closure.,Richard Eyre,"Jesse Akele,Louis Ashbourne Serkis,Lorraine Ashbourne,Jessica Baglow"
5551,Unruly,2022.0,135,Drama,7.3,A teenager in 1930s Denmark is forced into an institution to treat her rebellious behaviour.,Malou Reymann,"Amalie Drud Abildgaard,Lene Maria Christensen,Danica Curcic,Jessica Dinnage"
5552,The End of Sex,2022.0,87,"Comedy, Romance",6.9,"A couple feeling the pressures of parenting and adulthood, send their kids to winter camp for the first time and embark on a series of sexual adventures to reinvigorate their relationship.",Sean Garrity,"Emily Hampshire,Jonas Chernick,Gray Powell,Lily Gao"
5553,Snow and the Bear,2022.0,93,Drama,6.3,"A young nurse begins a new assignment at a wintry, remote village when a man goes missing.",Selcen Ergun,"Derya Pinar Ak,Erkan Bektas,Asiye Dinçsoy,Merve Dizdar"
5554,Bones of Crows,2022.0,124,Drama,8.1,"Bones of Crows is a psychological drama told through the eyes of Cree Matriarch, Aline Spears, as she survives Canada's residential school system to continue her family's generational fight...",Marie Clements,"Grace Dove,Phillip Lewitski,Rémy Girard,Karine Vanasse"
5555,The Way Out,2022.0,94,Drama,6.5,"A young man deals with the loss of his abusive father by taking advice from a charming, dangerous stranger who teaches him about life, sex, and fighting back.",Barry Jay,"Sherri Shepherd,Mike Manning,Ashleigh Murray,Jonny Beauchamp"
5556,Something You Said Last Night,2022.0,96,"Comedy, Drama",7.5,A writer in her twenties accompanies her parents and younger sister on vacation.,Luis De Filippis,"Carmen Madonia,Ramona Milano,Paige Evans,Joe Parro"
5557,Amor y matemáticas,2022.0,85,Comedy,5.3,A former pop star and a fan of his boy band struggle to fit in with society.,Claudia Sainte-Luce,"Roberto Quijano,Daniela Salinas,Diana Bovio,Marco Alfonso Polo Guerra"
5558,The Great Magic,2022.0,110,"Comedy, Drama",5.5,A couple whose relationship is put to the test when the wife vanishes during a magician's act.,Noémie Lvovsky,"Denis Podalydès,Sergi López,Noémie Lvovsky,Judith Chemla"
5559,Until Branches Bend,2022.0,98,Drama,7.1,"A feature-length psychological drama about a pregnant cannery worker who, after discovering what she believes to be an invasive insect in a peach, must convince her community that the danger it poses is very real.",Sophie Jarvis,"Grace Glowicki,Alexandra Roberts,Quelemia Sparrow,Lochlyn Munro"
5560,A Gaza Weekend,2022.0,90,Comedy,8.7,A British journalist tries to escape Israel after the UN imposes an embargo from land air and sea due to the spreading of a virus. Gaza becomes the safest place in the region.,Basil Khalil,"Loai Nofi,Stephen Mangan,Mouna Hawa,Adam Bakri"
5561,Biosphere,2022.0,106,,6.9,"In the not-too-distant future, the last two men on earth must adapt and evolve to save humanity.",Mel Eslyn,"Sterling K. Brown,Mark Duplass"
5562,Heights and Depths,2022.0,98,"Biography, Drama",7.7,Hilda is forced to follow helplessly the tragic death of her mountaineer husband Zsolt Eröss. As the heir of the deceased Hilda tries to cope with public expectations with her husband's ...,Sándor Csoma,"Emõke Pál,Zsolt Trill,Nagy Enikö,Lajos Ottó Horváth"
5563,Queens,2022.0,83,Adventure,8.1,"Casablanca, Morocco. A trio of women, with the police on their tail, embarks on a long escape that takes them across the rugged red terrain and flower-filled valleys of the Atlas to finally reach the Atlantic coast.",Yasmine Benkiran,"Nisrin Erradi,Nisrine Benchara,Rayhan Guaran"
5564,Thunder,2022.0,92,Drama,7.4,"A Swiss village, Elisabeth, 17, returns home from the convent after learning of her sister's mysterious death. Reunited with her three childhood friends she discovers that faith and desire can sometimes be intertwined.",Carmen Jaquier,"Sabine Timoteo,Lilith Grasmug,Mermoz Melchior,Noah Watzlawick"
5565,Elesin Oba: The King's Horseman,2022.0,96,"Adventure, Drama, History",4.5,"After his king dies, a horseman must sacrifice himself to serve his ruler in the afterlife but sudden distractions lead to unexpected tragedy.",Biyi Bandele,"Odunlade Adekola,Shaffy Bello,Olawale-Brymo Olofooro,Deyemi Okanlawon"
5566,Pula ang kulay ng gabi,2022.0,82,Drama,3.4,,Jojo Nadela,"Aljur Abrenica,Yana Fuentes,Soliman Cruz,Rob Sy"
5567,Daughter of Rage,2022.0,87,Drama,6.8,An 11-year-old and her mother are separated as the try to eke out a life on Nicaragua's largest landfill.,Laura Baumeister de Montis,"Virginia Raquel Sevilla Garcia,Carlos Gutierrez,Noé Hernández,Ara Alejandra Medal"
5568,The Gools,2022.0,89,"Animation, Adventure, Fantasy",,"After learning to protect a truce among a community of animals, three young goats embark on an adventurous journey to keep a ceasefire intact throughout their society.","Farzad Dalvand,Kianoush Dalvand","Jon Allen,Caroline Amiguet,Zack Andrews,Mark Atkinson"
5569,Cuerpo abierto,2022.0,91,"Drama, Horror, Mystery",6.2,"Miguel, a teacher, assigned to a creepy village feel's a fascination for Dorinda, who has an affair with Mauro who was found dead hanging from a cherry blossom tree. Miguel begins to suspect that his soul is still roaming the village.",Angeles Huerta,"Tamar Novas,Victoria Guerra,María Vázquez,Nicolás Otero"
5570,The Wall of the Dead,2022.0,48,Drama,5.6,"Arnaud, a student remaining alone in Paris during the summer, is obsessed with the wall where the names of the Parisian soldiers who died in the 1914 war are engraved. He finds himself ...",Eugène Green,"Saia Hiriart,Édouard Sulpice,Françoise Lebrun,Lola Le Lann"
5571,Le Coyote,2022.0,89,Drama,6.9,A widower's estranged daughter suddenly reappears with a grandson he didn't know about.,Katherine Jerkovic,"Eva Avila,Jorge Martinez Colorado,Christian de la Cortina,Arturo Gonzalez Martinez"
5572,So Much Tenderness,2022.0,118,Drama,6.6,"Having fled Colombia after her husband was murdered, an environmental lawyer rebuilds her life in Toronto with her tempestuous daughter, only to risk losing everything when her traumatic past re-surfaces.",Lina Rodriguez,"Noëlle Schönwald,Natalia Aranguren,Deragh Campbell,Augusto Bitter"
5573,Love in the City,2022.0,57,Romance,,"Two polar opposites, brought together on a chaotic blind date in the heart of London, unexpectedly fall for each other despite their differences.",Hank Orion,"Dan Blacka,Jessica Fraulo Ryder"
5574,Final X: The Final Experiment,2022.0,20,Drama,,,Thomas Haley,"Thomas Haley,Jessica Cameron,James Duval,Konstantin Lavysh"
5575,Here They Go,2022.0,85,"Comedy, Family",,Tommy Peterson takes his girlfriend to meet his over protective Mother and crazy family. He's worried that his mom won't like their age difference and he's hoping his relationship makes it through the night.,Bryan Bostic,"Tevin Jackson,Nicole Gasch,Leigha,Gary Winfield"
5576,Mina Nawe,2022.0,60,Comedy,,"This is a heartwarming film about a young woman who has commitment issues due to a major heartbreak in her past. After being abandoned at the altar, Amogelang goes on meet a handsome cop (...",Themba Twala,"Sphamandla Dhludhu,Didintle Khunou,Khayakazi Kula,Mbasa Msongelo"
5577,Murder at the Hive,2022.0,67,Comedy,,"""Murder at the Hive"" is an improvised comedy murder mystery, meaning everything you are seeing is being made up on the spot. A cast and crew assemble to begin production on a play. However ...",JR Timothy,"Bryson Alejandro,Brittany Breed,Adam Broud,Miriah Kessler"
5578,Szétszakítva,2022.0,77,"Drama, History, War",,,Zsigmond Burján,"Sándor Tüzkö,Mihály Balogh,Anna Szigeti,Ildikó Csille"
5579,Garance fait son show (Carnet Filmé: 23 mai 2022),2022.0,50,Comedy,,,Gérard Courant,"Garance Diamy,Anne Teyssèdre,Gérard Silmo,Gérard Courant"
5580,Drunk vs. Scammer,2022.0,23,Comedy,,Keeping a scammer from calling others.,Dan Kairis,Dan Kairis
5581,"Alice, Darling",2022.0,89,"Drama, Thriller",5.5,A young woman trapped in an abusive relationship becomes the unwitting participant in an intervention staged by her two closest friends.,Mary Nighy,"Anna Kendrick,Kaniehtiio Horn,Charlie Carrick,Wunmi Mosaku"
5582,Sick,2022.0,83,"Horror, Thriller",6.1,"Due to the pandemic, Parker and her best friend decide to quarantine at the family lake house alone - or so they think.",John Hyams,"Gideon Adlon,Bethlehem Million,Dylan Sprayberry,Marc Menchaca"
5583,The Good Nurse,2022.0,121,"Biography, Crime, Drama",6.8,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,Tobias Lindholm,"Eddie Redmayne,Jessica Chastain,Denise Pillott,Dartel McRae"
5584,Catherine Called Birdy,2022.0,108,Adventure,6.6,A 14 year old girl in medieval England navigates through life and avoiding potential suitors her father has in mind.,Lena Dunham,"Bella Ramsey,Billie Piper,Andrew Scott,Lesley Sharp"
5585,My Policeman,2022.0,113,"Drama, Romance",6.5,The arrival of Patrick into Marion and Tom's home triggers the exploration of seismic events from 40 years previously.,Michael Grandage,"Harry Styles,Emma Corrin,Gina McKee,Linus Roache"
5586,Wendell & Wild,2022.0,105,"Animation, Adventure, Comedy",6.4,"Two scheming demon brothers, Wendell and Wild, enlist the aid of 13-year-old Kat Elliot to summon them to the Land of the Living.",Henry Selick,"Lyric Ross,Keegan-Michael Key,Jordan Peele,Angela Bassett"
5587,"Monica, O My Darling",2022.0,129,"Comedy, Crime, Drama",7.4,"A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be.",Vasan Bala,"Rajkummar Rao,Huma Qureshi,Radhika Apte,Sikandar Kher"
5588,Chevalier,2022.0,107,"Biography, Drama, History",5.9,"Based on the true story of composer Joseph Bologne, Chevalier de Saint-Georges, the illegitimate son of an African slave and a French plantation owner, who rises to heights in French society as a composer before an ill-fated love affair.",Stephen Williams,"Minnie Driver,Lucy Boynton,Samara Weaving,Marton Csokas"
5589,Carmen,2022.0,116,"Drama, Musical",6.7,A modern-day reimagining of one of the classical opera 'Carmen'.,Benjamin Millepied,"Paul Mescal,Melissa Barrera,Elsa Pataky,Rossy de Palma"
5590,A Jazzman's Blues,2022.0,127,Drama,6.7,"Follows an investigation into an unsolved murder unveiling a story full of forbidden love, deceit and a secret.",Tyler Perry,"Joshua Boone,Amirah Vann,Solea Pfeiffer,Austin Scott"
